Year,Quarter,Month,Day,Sub-to-Quote Ratio
2023,Qtr 1,January,1,0.21
2023,Qtr 1,January,2,0.38
2023,Qtr 1,January,3,0.14
2023,Qtr 1,January,5,0.13
2023,Qtr 1,January,6,0.4
2023,Qtr 1,January,7,0.14
2023,Qtr 1,January,8,0.4
2023,Qtr 1,January,9,0.33
2023,Qtr 1,January,10,0.2
2023,Qtr 1,January,12,0.43
2023,Qtr 1,January,15,0.1
2023,Qtr 1,January,16,0.5
2023,Qtr 1,January,17,0.33
2023,Qtr 1,January,18,0.2
2023,Qtr 1,January,20,0.45
2023,Qtr 1,January,21,0.5
2023,Qtr 1,January,23,0.22
2023,Qtr 1,January,24,0.29
2023,Qtr 1,January,25,0.43
2023,Qtr 1,January,26,0.57
2023,Qtr 1,January,27,0.43
2023,Qtr 1,January,28,0.25
2023,Qtr 1,January,29,0.25
2023,Qtr 1,January,30,0.44
2023,Qtr 1,January,31,0.48
2023,Qtr 1,February,1,0.32
2023,Qtr 1,February,3,0.33
2023,Qtr 1,February,4,1
2023,Qtr 1,February,5,0.25
2023,Qtr 1,February,7,0.17
2023,Qtr 1,February,9,0.2
2023,Qtr 1,February,10,0.17
2023,Qtr 1,February,11,0.25
2023,Qtr 1,February,13,0.33
2023,Qtr 1,February,14,0.14
2023,Qtr 1,February,15,0.33
2023,Qtr 1,February,17,0.11
2023,Qtr 1,February,18,0.13
2023,Qtr 1,February,20,0.11
2023,Qtr 1,February,22,0.43
2023,Qtr 1,February,24,0.1
2023,Qtr 1,February,27,0.4
2023,Qtr 1,February,28,0.2
2023,Qtr 1,March,1,0.3
2023,Qtr 1,March,2,0.2
2023,Qtr 1,March,3,0.56
2023,Qtr 1,March,4,0.25
2023,Qtr 1,March,5,0.22
2023,Qtr 1,March,6,0.25
2023,Qtr 1,March,8,0.5
2023,Qtr 1,March,10,0.31
2023,Qtr 1,March,11,0.33
2023,Qtr 1,March,12,0.14
2023,Qtr 1,March,13,0.3
2023,Qtr 1,March,14,0.18
2023,Qtr 1,March,15,0.24
2023,Qtr 1,March,16,0.33
2023,Qtr 1,March,19,0.13
2023,Qtr 1,March,20,0.2
2023,Qtr 1,March,22,0.14
2023,Qtr 1,March,23,0.25
2023,Qtr 1,March,24,0.33
2023,Qtr 1,March,25,0.14
2023,Qtr 1,March,26,0.5
2023,Qtr 1,March,27,0.33
2023,Qtr 1,March,28,0.17
2023,Qtr 1,March,29,0.75
2023,Qtr 1,March,30,0.43
2023,Qtr 1,March,31,0.24
2023,Qtr 2,April,1,0.13
2023,Qtr 2,April,3,0.29
2023,Qtr 2,April,4,0.25
2023,Qtr 2,April,5,0.22
2023,Qtr 2,April,6,0.5
2023,Qtr 2,April,7,0.2
2023,Qtr 2,April,10,0.25
2023,Qtr 2,April,11,0.14
2023,Qtr 2,April,12,0.33
2023,Qtr 2,April,13,0.25
2023,Qtr 2,April,14,0.27
2023,Qtr 2,April,15,0.24
2023,Qtr 2,April,19,0.25
2023,Qtr 2,April,20,0.25
2023,Qtr 2,April,21,0.17
2023,Qtr 2,April,22,0.23
2023,Qtr 2,April,23,0.2
2023,Qtr 2,April,24,0.33
2023,Qtr 2,April,25,0.4
2023,Qtr 2,April,26,0.08
2023,Qtr 2,April,27,0.25
2023,Qtr 2,April,28,0.33
2023,Qtr 2,April,30,0.31
2023,Qtr 2,May,1,0.05
2023,Qtr 2,May,2,0.33
2023,Qtr 2,May,5,0.2
2023,Qtr 2,May,7,0.25
2023,Qtr 2,May,8,0.15
2023,Qtr 2,May,9,0.29
2023,Qtr 2,May,11,0.17
2023,Qtr 2,May,12,0.43
2023,Qtr 2,May,14,0.33
2023,Qtr 2,May,15,0.18
2023,Qtr 2,May,17,0.29
2023,Qtr 2,May,19,0.33
2023,Qtr 2,May,20,0.09
2023,Qtr 2,May,23,1
2023,Qtr 2,May,24,0.33
2023,Qtr 2,May,25,0.44
2023,Qtr 2,May,26,0.38
2023,Qtr 2,May,27,0.33
2023,Qtr 2,May,28,0.25
2023,Qtr 2,May,30,0.43
2023,Qtr 2,May,31,0.33
2023,Qtr 2,June,1,0.23
2023,Qtr 2,June,3,0.33
2023,Qtr 2,June,4,0.6
2023,Qtr 2,June,7,0.33
2023,Qtr 2,June,8,0.17
2023,Qtr 2,June,9,0.2
2023,Qtr 2,June,10,0.4
2023,Qtr 2,June,12,0.22
2023,Qtr 2,June,13,0.27
2023,Qtr 2,June,14,0.3
2023,Qtr 2,June,15,0.12
2023,Qtr 2,June,16,0.23
2023,Qtr 2,June,17,0.38
2023,Qtr 2,June,18,0.33
2023,Qtr 2,June,20,0.1
2023,Qtr 2,June,21,0.1
2023,Qtr 2,June,22,0.27
2023,Qtr 2,June,23,0.25
2023,Qtr 2,June,25,0.33
2023,Qtr 2,June,26,0.13
2023,Qtr 2,June,27,0.25
2023,Qtr 2,June,28,0.45
2023,Qtr 2,June,29,0.18
2023,Qtr 2,June,30,0.33
2023,Qtr 3,July,1,0.13
2023,Qtr 3,July,2,0.29
2023,Qtr 3,July,5,0.5
2023,Qtr 3,July,6,0.18
2023,Qtr 3,July,8,0.25
2023,Qtr 3,July,10,0.25
2023,Qtr 3,July,11,0.33
2023,Qtr 3,July,12,0.5
2023,Qtr 3,July,13,0.11
2023,Qtr 3,July,14,0.21
2023,Qtr 3,July,15,0.18
2023,Qtr 3,July,16,0.29
2023,Qtr 3,July,17,0.5
2023,Qtr 3,July,18,0.25
2023,Qtr 3,July,20,0.27
2023,Qtr 3,July,21,0.2
2023,Qtr 3,July,22,0.22
2023,Qtr 3,July,23,0.1
2023,Qtr 3,July,25,0.27
2023,Qtr 3,July,26,0.1
2023,Qtr 3,July,28,0.36
2023,Qtr 3,July,29,0.31
2023,Qtr 3,July,30,0.25
2023,Qtr 3,July,31,0.38
2023,Qtr 3,August,1,0.22
2023,Qtr 3,August,2,0.22
2023,Qtr 3,August,3,0.11
2023,Qtr 3,August,4,0.2
2023,Qtr 3,August,6,0.5
2023,Qtr 3,August,7,0.09
2023,Qtr 3,August,8,0.14
2023,Qtr 3,August,9,0.33
2023,Qtr 3,August,10,0.24
2023,Qtr 3,August,11,0.08
2023,Qtr 3,August,12,0.1
2023,Qtr 3,August,13,0.14
2023,Qtr 3,August,14,0.18
2023,Qtr 3,August,15,0.25
2023,Qtr 3,August,16,0.33
2023,Qtr 3,August,17,0.22
2023,Qtr 3,August,18,0.28
2023,Qtr 3,August,19,0.12
2023,Qtr 3,August,20,0.13
2023,Qtr 3,August,22,0.5
2023,Qtr 3,August,23,0.19
2023,Qtr 3,August,24,0.23
2023,Qtr 3,August,25,0.1
2023,Qtr 3,August,26,0.13
2023,Qtr 3,August,27,0.17
2023,Qtr 3,August,28,0.08
2023,Qtr 3,August,29,0.27
2023,Qtr 3,August,30,0.5
2023,Qtr 3,August,31,0.14
2023,Qtr 3,September,1,0.09
2023,Qtr 3,September,2,0.09
2023,Qtr 3,September,3,0.07
2023,Qtr 3,September,4,0.08
